CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;1;19.0;28.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;2;19.3;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;3;19.1;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;4;19.0;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;5;18.1;24.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;6;19.2;25.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;7;19.4;23.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;8;21.0;23.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;9;19.7;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;10;18.8;22.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;11;19.2;24.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;12;19.7;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;13;17.7;23.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;14;15.4;23.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;15;19.1;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;16;16.8;22.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;17;17.9;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;18;19.4;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;19;19.5;23.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;20;18.9;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;21;15.7;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;22;18.1;24.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;23;15.0;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;24;19.0;23.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;25;16.3;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;26;18.8;23.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;27;15.7;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;28;15.0;22.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;29;17.0;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;4;30;16.1;23.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;1;18.4;26.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;2;18.3;24.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;3;17.4;24.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;4;18.7;23.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;5;18.7;23.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;6;18.4;23.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;7;18.0;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;8;19.5;22.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;9;18.7;21.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;10;17.8;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;11;18.1;23.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;12;18.5;24.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;13;16.9;22.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;14;15.8;21.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;15;17.0;21.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;16;16.2;21.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;17;17.1;22.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;18;18.5;22.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;19;17.1;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;20;16.2;21.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;4;21;14.8;20.4
